INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,ZIP_CODE,CENSUS_TRACT,BIN,NTA,LOCATION,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
646 BROADWAY,BROOKLYN,01 BROOKLYN,Precinct 90,33,3022700012,01/31/2018,Open,Site downloaded for cleaning,,999454,195255,40.702594,-73.945165,11206, 507  ,3061457,Bedford,"(40.702594, -73.945165)",17213,36,2,38,56
1456 CONEY ISLAND AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3065360011,12/12/2017,Open,Site downloaded for cleaning,,994071,165817,40.621801,-73.964623,11230, 454  ,3171511,Ocean Parkway South,"(40.621801, -73.964623)",13513,2,2,18,39
233-05 LINDEN BOULEVARD,QUEENS,13 QUEENS,Precinct 105,27,4113340008,01/31/2018,Open,Site downloaded for cleaning,,1059421,191164,40.691059,-73.728935,11411, 622  ,4244788,Cambria Heights,"(40.691059, -73.728935)",15311,63,3,6,63
56-98 COOPER AVENUE,QUEENS,05 QUEENS,Precinct 104,30,,01/18/2018,Open,Property Research Required,,1011852,191890,40.693328,-73.900465,11385, 559  ,,Ridgewood,"(40.693328, -73.900465)",15310,54,3,34,62
523 THIRD AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39,3010270003,11/09/2017,Closed,Cleaning crew dispatched.  Property cleaned.,02/15/2018,986249,183128,40.669321,-73.992794,11215, 117  ,3023086,Park Slope-Gowanus,"(40.669321, -73.992794)",17617,14,2,27,50
2075 HAVILAND AVENUE,BRONX,09 BRONX,Precinct 43,18,2038010043,12/20/2017,Open,Site downloaded for cleaning,,1024571,241708,40.830016,-73.854300,10472,  78  ,2026164,Westchester-Unionport,"(40.830016, -73.8543)",11610,58,5,31,26
592 JOHNSON AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,3029950016,02/20/2018,Open,Site downloaded for cleaning,,1005119,197581,40.708967,-73.924727,11237, 453  ,3070630,Bushwick North,"(40.708967, -73.924727)",13828,36,2,30,56
174 TOMPKINS AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3017710042,01/25/2018,Open,Site to be cleaned.,,999263,191797,40.693103,-73.945862,11206, 261  ,3049337,Bedford,"(40.693103, -73.945862)",17213,69,2,49,51
72-34 AUSTIN STREET,QUEENS,06 QUEENS,Precinct 112,29,4032557501,12/14/2017,Open,Site downloaded for cleaning,,1028220,201185,40.718774,-73.841380,11375, 737  ,4077933,Forest Hills,"(40.718774, -73.84138)",14786,40,3,28,70
992 METROPOLITAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,,12/12/2017,Open,Property Research Required,,1001921,199590,40.714488,-73.936257,11211, 481  ,,East Williamsburg,"(40.714488, -73.936257)",17613,36,2,30,56
192-20 LINDEN BOULEVARD,QUEENS,12 QUEENS,Precinct 113,27,4126090010,03/10/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1051038,191676,40.692531,-73.759159,11412, 394  ,4271569,St. Albans,"(40.692531, -73.759159)",15312,41,3,6,71
115 WEST   27 STREET,MANHATTAN,05 MANHATTAN,Precinct 13,03,1008030026,12/15/2017,Open,Site downloaded for cleaning,,986522,210985,40.745782,-73.991801,10001,  95  ,1015068,Midtown-Midtown South,"(40.745782, -73.991801)",11722,11,4,10,7
2212 WESTCHESTER AVENUE,BRONX,09 BRONX,Precinct 43,18,2038230005,12/19/2017,Open,Site downloaded for cleaning,,1025436,243250,40.834245,-73.851165,10462,  92  ,2095401,Westchester-Unionport,"(40.834245, -73.851165)",11271,58,5,31,26
644 UTICA AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,41,3046170017,12/14/2017,Open,Site downloaded for cleaning,,1003387,178892,40.657674,-73.931027,11203, 808  ,3100178,Prospect Lefferts Gardens-Wingate,"(40.657674, -73.931027)",16866,17,2,17,44
97-01 SUTPHIN BOULEVARD,QUEENS,12 QUEENS,Precinct 103,28,4100310002,12/07/2017,Open,Site downloaded for cleaning,,1038130,193347,40.697206,-73.805692,11435, 208  ,4595480,Jamaica,"(40.697206, -73.805692)",24670,41,3,46,61
6820 BAY PARKWAY,BROOKLYN,11 BROOKLYN,Precinct 62,47,3055800047,11/13/2017,Open,Site downloaded for cleaning,,988781,162135,40.611699,-73.983681,11204, 258  ,3135140,Bensonhurst West,"(40.611699, -73.983681)",16867,1,2,45,37
11-25 BROADWAY,QUEENS,01 QUEENS,Precinct 114,26,4005020038,03/14/2018,Open,Graffiti Reported,,1002084,218869,40.767404,-73.935617,11106,  81  ,4005447,Old Astoria,"(40.767404, -73.935617)",16863,39,3,33,72
9613 FLATLANDS AVENUE,BROOKLYN,18 BROOKLYN,Precinct 69,46,3081840004,12/15/2017,Open,Site downloaded for cleaning,,1011645,173654,40.643275,-73.901285,11236, 968  ,3229666,Canarsie,"(40.643275, -73.901285)",13827,5,2,8,42
109 F AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39,3053950056,02/18/2018,Open,Site downloaded for cleaning,,990531,169965,,,,,,,,,,,,
30 HUNTINGTON STREET,BROOKLYN,06 BROOKLYN,Precinct 76,38,3005340022,01/23/2018,Open,Site to be cleaned.,,982821,186123,40.677542,-74.005152,11231,  59  ,3008438,Carroll Gardens-Columbia Street-Red Hook,"(40.677542, -74.005152)",13514,14,2,7,48
916 AVENUE T,BROOKLYN,15 BROOKLYN,Precinct 61,47,3071120007,11/16/2017,Open,Site downloaded for cleaning,,994722,158050,40.600481,-73.962290,11223, 394  ,3192183,Homecrest,"(40.600481, -73.96229)",18183,32,2,45,36
76 ORCHARD STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004080005,12/14/2017,Open,Site downloaded for cleaning,,986891,200729,40.717631,-73.990473,10002,  18  ,1005269,Chinatown,"(40.717631, -73.990473)",11723,70,4,32,4
1959 WESTCHESTER AVENUE,BRONX,09 BRONX,Precinct 43,18,2039300068,12/19/2017,Open,Site downloaded for cleaning,,1023320,242957,40.833450,-73.858813,10462, 222  ,2090518,Parkchester,"(40.83345, -73.858813)",11271,58,5,31,26
47-02 37 STREET,QUEENS,02 QUEENS,Precinct 108,26,4002290032,12/12/2017,Open,Site downloaded for cleaning,,1004079,209589,40.741928,-73.928443,11101, 189  ,4003268,Hunters Point-Sunnyside-West Maspeth,"(40.741928, -73.928443)",16858,53,3,33,66
1075 LAFAYETTE AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016080045,11/12/2017,Closed,Cleaning crew dispatched.  Property cleaned.,02/12/2018,1003905,191559,40.692440,-73.929123,11221, 289  ,3043498,Stuyvesant Heights,"(40.69244, -73.929123)",18181,69,2,49,52
2226 MCDONALD AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,47,3071030023,12/11/2017,Open,Site downloaded for cleaning,,991724,157195,40.598137,-73.973086,11223, 400  ,3191418,Bensonhurst East,"(40.598137, -73.973086)",18183,1,2,45,37
306 PARKVILLE AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3054290001,12/15/2017,Open,Site downloaded for cleaning,,993058,169731,40.632545,-73.968266,11230, 482  ,3128182,Flatbush,"(40.632545, -73.968266)",13513,60,2,11,43
1876 JEROME AVENUE,BRONX,05 BRONX,Precinct 46,14,2028520001,12/26/2017,Open,Site downloaded for cleaning,,1008859,248787,40.849504,-73.911049,10453, 23301,2008231,Mount Hope,"(40.849504, -73.911049)",10931,6,5,29,29
159 ESSEX STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004120073,12/18/2017,Open,Site downloaded for cleaning,,987871,201968,40.721032,-73.986937,10002,  3001,1083470,Chinatown,"(40.721032, -73.986937)",11723,70,4,32,4
739 PARK AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3017310038,11/30/2017,Open,Site downloaded for cleaning,,999166,193573,40.697978,-73.946208,11206, 257  ,3048400,Bedford,"(40.697978, -73.946208)",17213,69,2,49,51
105-15 177 STREET,QUEENS,12 QUEENS,Precinct 103,27,4103330118,01/31/2018,Open,Site to be cleaned.,,1044923,195617,40.703393,-73.781174,11433, 440  ,4220192,South Jamaica,"(40.703393, -73.781174)",24668,41,3,6,61
2941 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,13,2041640001,12/19/2017,Open,Site downloaded for cleaning,,1030427,247687,40.846398,-73.833098,10461, 26601,2045970,Pelham Bay-Country Club-City Island,"(40.846398, -73.833098)",11270,43,5,12,28
2787 WEST   16 STREET,BROOKLYN,13 BROOKLYN,Precinct 60,47,3069960006,01/25/2018,Open,Site to be cleaned.,,988623,150455,40.579639,-73.984257,11224, 348  ,3188459,Seagate-Coney Island,"(40.579639, -73.984257)",18184,21,2,45,35
5301 18 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3054800008,01/30/2018,Open,Site downloaded for cleaning,,988875,167325,40.625944,-73.983339,11204, 472  ,3130268,Borough Park,"(40.625944, -73.983339)",16867,2,2,18,39
501 WEST  134 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,07,1019880029,11/22/2017,Open,Site downloaded for cleaning,,997302,237408,40.818296,-73.952845,10031, 22301,1059764,Manhattanville,"(40.818296, -73.952845)",12428,37,4,23,19
38 WEST   33 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,04,1008340069,12/18/2017,Open,Site downloaded for cleaning,,987851,212005,40.748581,-73.987004,10001,  76  ,1015855,Midtown-Midtown South,"(40.748581, -73.987004)",11722,11,4,51,8
1553 DEKALB AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3032370063,02/08/2018,Open,Site downloaded for cleaning,,1006283,195408,40.702999,-73.920535,11237, 445  ,3073661,Bushwick North,"(40.702999, -73.920535)",13828,42,2,37,53
6215 14 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,38,3057340004,12/16/2017,Closed,Graffiti is intentional.,01/04/2018,984896,167429,40.626231,-73.997673,11219, 192  ,3141663,Borough Park,"(40.626231, -73.997673)",17621,1,2,7,37
851 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3039760070,11/09/2017,Closed,Cleaning crew dispatched.  Property cleaned.,12/01/2017,1018044,185990,40.677112,-73.878165,11208,1192  ,3088473,East New York,"(40.677112, -73.878165)",17215,45,2,37,47
26 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1002977501,01/25/2018,Open,Site downloaded for cleaning,,986830,199957,40.715512,-73.990693,10002,  16  ,1003827,Chinatown,"(40.715512, -73.990693)",11723,70,4,32,4
1122 EASTERN PARKWAY,BROOKLYN,09 BROOKLYN,Precinct 71,35,3013960040,12/15/2017,Open,Site downloaded for cleaning,,1003230,182951,40.668815,-73.931582,11213, 351  ,3330834,Crown Heights North,"(40.668815, -73.931582)",17615,17,2,48,44
1484 PRESIDENT STREET,BROOKLYN,09 BROOKLYN,Precinct 71,35,3014060009,11/22/2017,Open,Site downloaded for cleaning,,1001123,182448,40.667439,-73.939178,11213, 335  ,3037825,Crown Heights South,"(40.667439, -73.939178)",17615,17,2,48,44
104-01 101 AVENUE,QUEENS,09 QUEENS,Precinct 102,28,4094060036,01/22/2018,Open,Site downloaded for cleaning,,1028921,189350,40.686286,-73.838929,11416, 116  ,4197777,Richmond Hill,"(40.686286, -73.838929)",24012,46,3,46,60
69-80 75 STREET,QUEENS,05 QUEENS,Precinct 104,30,4037930103,01/10/2018,Open,Site downloaded for cleaning,,1018706,197065,40.707508,-73.875722,11379, 619  ,4092094,Middle Village,"(40.707508, -73.875722)",15309,54,3,34,62
301 WALTON AVENUE,BRONX,01 BRONX,Precinct 40,08,2023440075,01/23/2018,Open,Site downloaded for cleaning,,1003640,236122,40.814755,-73.929950,10451,  63  ,2001025,West Concourse,"(40.814755, -73.92995)",10929,49,5,35,23
5009 BROADWAY,MANHATTAN,12 MANHATTAN,Precinct 34,10,1022430030,02/20/2018,Open,Site downloaded for cleaning,,1007209,255961,40.869199,-73.916989,10034, 303  ,1065002,Marble Hill-Inwood,"(40.869199, -73.916989)",13092,47,4,39,22
869 BRYANT AVENUE,BRONX,02 BRONX,Precinct 41,17,2027627501,01/03/2018,Open,Site downloaded for cleaning,,1015629,237567,40.818679,-73.886628,10474, 11502,2006460,Hunts Point,"(40.818679, -73.886628)",12343,8,5,43,24
92 RIVINGTON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004110036,11/16/2017,Open,Site downloaded for cleaning,,987374,201665,40.720200,-73.988730,10002,  3001,1005364,Chinatown,"(40.7202, -73.98873)",11723,70,4,32,4
1710 UNION STREET,BROOKLYN,09 BROOKLYN,Precinct 71,35,3014020039,12/15/2017,Open,Site downloaded for cleaning,,1003149,182600,40.667852,-73.931875,11213, 351  ,3037765,Crown Heights North,"(40.667852, -73.931875)",17615,17,2,48,44
1794 JEROME AVENUE,BRONX,05 BRONX,Precinct 46,14,2028500009,12/26/2017,Open,Site downloaded for cleaning,,1008639,248381,40.848390,-73.911846,10453, 22701,2008209,Mount Hope,"(40.84839, -73.911846)",10931,6,5,29,29
1170 WEBSTER AVENUE,BRONX,03 BRONX,Precinct 42,16,2023940001,12/18/2017,Open,Site downloaded for cleaning,,1009099,242125,40.831218,-73.910207,10456, 145  ,2001642,Claremont-Bathgate,"(40.831218, -73.910207)",10934,34,5,42,25
217 IRVING AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3032800001,11/09/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/29/2017,1007007,194698,40.701049,-73.917927,11237, 443  ,3074846,Bushwick North,"(40.701049, -73.917927)",13828,42,2,37,53
1700 ATI,BROOKLYN,01 BROOKLYN,Unspecified,,,12/11/2017,Open,Property Research Required,,,,,,,,,,,,,,,
220-01 JAMAICA AVENUE,QUEENS,13 QUEENS,Precinct 105,23,4107250096,01/19/2018,Open,Site downloaded for cleaning,,1057928,201352,40.719035,-73.734208,11428, 564  ,4229859,Queens Village,"(40.719035, -73.734208)",24338,63,3,16,63
360 EAST GUNHILL ROAD,BRONX,07 BRONX,Precinct 52,11,2033550112,12/07/2017,Open,Site downloaded for cleaning,,1019544,259444,40.878718,-73.872372,10467, 42902,2018612,Norwood,"(40.878718, -73.872372)",11605,24,5,40,34
1460 SOUTHERN BOULEVARD,BRONX,03 BRONX,Precinct 42,17,2029810001,12/20/2017,Open,Site downloaded for cleaning,,1014537,242654,40.832653,-73.890554,10460, 157  ,2010568,Crotona Park East,"(40.832653, -73.890554)",11269,34,5,43,25
43 WEST   65 STREET,MANHATTAN,07 MANHATTAN,Precinct 20,06,1011180005,03/11/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,989655,220659,40.772333,-73.980486,10023, 149  ,1028160,Lincoln Square,"(40.772333, -73.980486)",12420,20,4,19,12
260 SAINT NICHOLAS AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3033110035,12/15/2017,Open,Site downloaded for cleaning,,1008367,195199,40.702420,-73.913020,11237, 441  ,3075804,Bushwick North,"(40.70242, -73.91302)",13828,42,2,37,53
25-18 38 AVENUE,QUEENS,01 QUEENS,Precinct 114,26,4003870019,02/22/2018,Open,Site downloaded for cleaning,,1002069,214614,40.755725,-73.935683,11101,  31  ,4004704,Queensbridge-Ravenswood-Long Island City,"(40.755725, -73.935683)",16858,39,3,33,72
105 WEST   26 STREET,MANHATTAN,05 MANHATTAN,Precinct 13,03,1008020035,12/15/2017,Open,Site downloaded for cleaning,,986478,210715,40.745041,-73.991959,10001,  95  ,1015042,Midtown-Midtown South,"(40.745041, -73.991959)",11722,11,4,10,7
1329 WILLOUGHBY AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,3032000035,02/05/2018,Open,Site downloaded for cleaning,,1006136,196510,40.706025,-73.921062,11237, 447  ,3072801,Bushwick North,"(40.706025, -73.921062)",13828,42,2,30,53
193 BANKER STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33,3026160045,11/29/2017,Closed,Cleaning crew dispatched.  Property cleaned.,02/26/2018,996578,203427,40.725029,-73.955523,11222, 561  ,3065495,Greenpoint,"(40.725029, -73.955523)",18182,36,2,38,57
964 MYRTLE AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3017570113,01/11/2018,Open,Site downloaded for cleaning,,1000076,192886,40.696090,-73.942928,11206, 283  ,3388861,Stuyvesant Heights,"(40.69609, -73.942928)",17213,69,2,49,51
620 9 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 14,03,1010340061,01/18/2018,Open,Site downloaded for cleaning,,986538,216031,40.759632,-73.991741,10036, 121  ,1024978,Clinton,"(40.759632, -73.991741)",13094,12,4,10,8
25-14 50 AVENUE,QUEENS,02 QUEENS,Precinct 108,26,4001100038,11/08/2017,Closed,Cleaning crew dispatched. No graffiti on property.,12/05/2017,999702,209181,40.740817,-73.944239,11101,   1  ,4000767,Hunters Point-Sunnyside-West Maspeth,"(40.740817, -73.944239)",16858,53,3,33,66
137-22 101 AVENUE,QUEENS,12 QUEENS,Precinct 103,28,4100150012,03/12/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1036592,192225,40.694135,-73.811248,11435, 206  ,4214315,Jamaica,"(40.694135, -73.811248)",24670,41,3,46,61
114 MERCER STREET,MANHATTAN,02 MANHATTAN,Precinct 1,01,1004987502,03/13/2018,Open,Graffiti Reported,,984461,202994,40.723849,-73.999239,10012,  49  ,1007579,SoHo-TriBeCa-Civic Center-Little Italy,"(40.723849, -73.999239)",12075,57,4,32,1
136 WYCKOFF AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3032700034,01/30/2018,Open,Site downloaded for cleaning,,1007137,195480,40.703195,-73.917455,11237, 443  ,3074544,Bushwick North,"(40.703195, -73.917455)",13828,42,2,37,53
120-01 LIBERTY AVENUE,QUEENS,10 QUEENS,Precinct 106,28,4095580042,12/04/2017,Open,Site downloaded for cleaning,,1033318,189498,40.686669,-73.823074,11419, 15802,4203779,South Ozone Park,"(40.686669, -73.823074)",24015,62,3,46,64
859 UTICA AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,41,3046760046,11/14/2017,Open,Site downloaded for cleaning,,1003554,176937,40.652307,-73.930431,11203, 868  ,3102135,Rugby-Remsen Village,"(40.652307, -73.930431)",16866,61,2,17,40
1558 DE KALB AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3032480010,02/01/2018,Open,Site downloaded for cleaning,,1006326,195455,40.703128,-73.920380,11237, 445  ,3073907,Bushwick North,"(40.703128, -73.92038)",13828,42,2,37,53
3865 st nicholas,QUEENS,01 QUEENS,Unspecified,,,12/07/2017,Open,Property Research Required,,,,,,,,,,,,,,,
108-51 SUTPHIN BOULEVARD,QUEENS,12 QUEENS,Precinct 103,28,4101410006,11/17/2017,Open,Site downloaded for cleaning,,1040162,191475,40.692055,-73.798380,11435, 254  ,4216039,South Jamaica,"(40.692055, -73.79838)",24668,41,3,46,61
127-01 111 AVENUE,QUEENS,10 QUEENS,Precinct 106,28,4116080042,12/12/2017,Open,Site downloaded for cleaning,,1035791,188003,40.682552,-73.814168,11420, 170  ,4249805,South Ozone Park,"(40.682552, -73.814168)",24016,62,3,46,64
2 SPRUCE STREET,MANHATTAN,01 MANHATTAN,Precinct 1,01,1001007501,12/02/2017,Open,Site downloaded for cleaning,,982642,198538,40.711544,-74.005721,10038,  1501,1087756,Battery Park City-Lower Manhattan,"(40.711544, -74.005721)",13096,56,4,32,1
42-02 30 AVENUE,QUEENS,01 QUEENS,Precinct 114,22,4006960037,03/12/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1008276,217296,40.763071,-73.913269,11103, 149  ,4011927,Astoria,"(40.763071, -73.913269)",16860,39,3,4,72
335 CENTRAL AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3033240001,01/19/2018,Open,Site downloaded for cleaning,,1006669,192375,40.694674,-73.919153,11221, 417  ,3076115,Bushwick South,"(40.694674, -73.919153)",18181,42,2,37,53
259 VAN BRUNT STREET,BROOKLYN,06 BROOKLYN,Precinct 76,38,3005300005,11/07/2017,Open,Site downloaded for cleaning,,981455,186927,40.679748,-74.010077,11231,  59  ,3008378,Carroll Gardens-Columbia Street-Red Hook,"(40.679748, -74.010077)",13514,14,2,7,48
578 10 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 10,03,1010520001,01/11/2018,Open,Site downloaded for cleaning,,985537,216083,40.759775,-73.995354,10036, 121  ,1083746,Clinton,"(40.759775, -73.995354)",13094,12,4,10,6
3824 FORT HAMILTON PARKWAY,BROOKLYN,12 BROOKLYN,Precinct 66,39,3052880052,12/19/2017,Open,Site downloaded for cleaning,,987021,173720,40.643498,-73.990015,11218, 110  ,3122920,Sunset Park East,"(40.643498, -73.990015)",17621,2,2,27,39
886 RUTLAND ROAD,BROOKLYN,17 BROOKLYN,Precinct 67,41,3046050003,02/02/2018,Open,Site to be cleaned.,,1003671,179984,40.660670,-73.930000,11203, 878  ,3099660,Prospect Lefferts Gardens-Wingate,"(40.66067, -73.93)",16866,61,2,17,40
1168 GLENMORE AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3042220021,11/06/2017,Closed,Cleaning crew dispatched.  Property cleaned.,11/30/2017,1021442,186164,40.677576,-73.865914,11208,1202  ,3094798,Cypress Hills-City Line,"(40.677576, -73.865914)",17215,45,2,37,47
65 9 STREET,BROOKLYN,06 BROOKLYN,Precinct 78,39,3009900050,01/17/2018,Open,Site downloaded for cleaning,,985602,184637,40.673463,-73.995126,11215, 119  ,3337607,Park Slope-Gowanus,"(40.673463, -73.995126)",17617,14,2,27,50
farraghut road and east 38 street,BROOKLYN,01 BROOKLYN,Unspecified,,,11/30/2017,Open,Property Research Required,,,,,,,,,,,,,,,
9905 THIRD AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3061340007,01/23/2018,Open,Site downloaded for cleaning,,974522,163023,40.614132,-74.035038,11209,  5602,3156075,Bay Ridge,"(40.614132, -74.035038)",17216,10,2,44,41
1430 DRUMGOOLE ROAD WEST,STATEN ISLAND,03 STATEN ISLAND,Precinct 123,51,,12/04/2017,Open,Property Research Required,,930815,134749,40.536370,-74.192239,10312, 17009,,Arden Heights,"(40.53637, -74.192239)",10699,15,1,9,77
49 EAST    1 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004420021,01/11/2018,Open,Site downloaded for cleaning,,987115,202967,40.723774,-73.989664,10003,  3602,1006078,East Village,"(40.723774, -73.989664)",11724,70,4,50,5
551 NEW YORK AVENUE,BROOKLYN,09 BROOKLYN,Precinct 71,40,3047920051,01/26/2018,Open,Site to be cleaned.,,998740,180212,40.661305,-73.947773,11225, 806  ,3106545,Prospect Lefferts Gardens-Wingate,"(40.661305, -73.947773)",13509,17,2,11,44
723 WESTCHESTER AVENUE,BRONX,01 BRONX,Precinct 40,17,2026450043,11/17/2017,Closed,Cleaning crew dispatched.  Property cleaned.,02/20/2018,1010281,237155,40.817573,-73.905955,10455,  75  ,2004571,Melrose South-Mott Haven North,"(40.817573, -73.905955)",10933,49,5,43,23
111 ELDRIDGE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,01,1004180046,12/18/2017,Open,Site downloaded for cleaning,,986477,200928,40.718178,-73.991966,10002,  18  ,1005572,Chinatown,"(40.718178, -73.991966)",11723,70,4,32,2
30 BARRETT AVENUE,STATEN ISLAND,01 STATEN ISLAND,Precinct 121,49,5010530138,11/10/2017,Open,Site downloaded for cleaning,,946332,167285,40.625754,-74.136597,10302, 247  ,5110052,Port Richmond,"(40.625754, -74.136597)",10370,4,1,13,75
220 AVENUE B,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004070035,12/18/2017,Open,Site downloaded for cleaning,,990240,204856,40.728957,-73.978388,10009,  34  ,1005250,East Village,"(40.728957, -73.978388)",11729,70,4,50,5
597A 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3006280072,12/26/2017,Open,Site downloaded for cleaning,,986148,181599,40.665124,-73.993159,11215, 143  ,3008934,Park Slope-Gowanus,"(40.665124, -73.993159)",17617,9,2,7,45
1159 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,45,3051870001,02/03/2018,Open,Site to be cleaned.,,996150,173188,40.642030,-73.957121,11226, 790  ,3119600,Erasmus,"(40.64203, -73.957121)",13510,60,2,26,43
1829 JEROME AVENUE,BRONX,05 BRONX,Precinct 46,14,2028610140,01/18/2018,Open,Site downloaded for cleaning,,1008869,248819,40.849592,-73.911013,10453, 217  ,2008373,University Heights-Morris Heights,"(40.849592, -73.911013)",10931,6,5,29,29
151 EAST BROADWAY,MANHATTAN,03 MANHATTAN,Precinct 7,01,1002830029,01/09/2018,Open,Site downloaded for cleaning,,986792,199402,40.713989,-73.990830,10002,   6  ,1003569,Lower East Side,"(40.713989, -73.99083)",11723,70,4,32,4
375 BAY    8 STREET,BROOKLYN,11 BROOKLYN,Unspecified,43,3064800006,11/30/2017,Open,Site downloaded for cleaning,,979272,159498,40.604460,-74.017927,11228, 168  ,3328892,Bath Beach,"(40.60446, -74.017927)",17216,1,2,44,41
100 WEST   14 STREET,MANHATTAN,02 MANHATTAN,Precinct 6,03,1006090038,12/18/2017,Open,Site downloaded for cleaning,,985006,207980,40.737534,-73.997272,10011,  71  ,1010646,West Village,"(40.737534, -73.997272)",12074,57,4,10,3
1816 NOSTRAND AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,45,3051950034,01/30/2018,Open,Site to be cleaned.,,998514,173066,40.641692,-73.948603,11226, 828  ,3120045,Erasmus,"(40.641692, -73.948603)",13510,61,2,26,40
6608 BAY PARKWAY,BROOKLYN,11 BROOKLYN,Precinct 62,47,3055640042,02/07/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,989148,162602,40.612980,-73.982359,11204, 256  ,3134525,Bensonhurst West,"(40.61298, -73.982359)",16867,1,2,45,37
190 6 STREET,BROOKLYN,06 BROOKLYN,Precinct 78,39,3009910031,11/07/2017,Open,Site downloaded for cleaning,,986929,184710,40.673663,-73.990342,11215, 119  ,3339453,Park Slope-Gowanus,"(40.673663, -73.990342)",17617,14,2,27,50
760 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39,3053940010,11/16/2017,Closed,Cleaning crew dispatched.  Property cleaned.,02/26/2018,990364,170695,40.635193,-73.977972,11218, 478  ,3336274,Borough Park,"(40.635193, -73.977972)",17620,2,2,27,39
2968 SHELL ROAD,BROOKLYN,13 BROOKLYN,Precinct 60,47,,12/11/2017,Open,Property Research Required,,990865,150719,40.580363,-73.976186,11224, 348  ,,Seagate-Coney Island,"(40.580363, -73.976186)",18184,21,2,45,35
6715 BAY PARKWAY,BROOKLYN,11 BROOKLYN,Precinct 62,44,3065760008,12/11/2017,Open,Site downloaded for cleaning,,988980,162379,40.612368,-73.982964,11204, 430  ,3173206,Bensonhurst East,"(40.612368, -73.982964)",16867,1,2,18,37
902 BROADWAY,BROOKLYN,03 BROOKLYN,Precinct 81,36,3015820022,12/07/2017,Open,Site downloaded for cleaning,,1001745,193548,40.697904,-73.936907,11206, 287  ,3042866,Stuyvesant Heights,"(40.697904, -73.936907)",17213,69,2,49,52
301 BRIGHTON BEACH AVENUE,BROOKLYN,13 BROOKLYN,Precinct 60,48,3086730004,11/21/2017,Open,Site downloaded for cleaning,,994234,149516,40.577058,-73.964059,11235, 362  ,3244757,Brighton Beach,"(40.577058, -73.964059)",13826,21,2,15,35
